OAT_C,OAT_F,ALT_0,ALT_1000,ALT_2000,ALT_3000
54,129,54.2,,,
52,126,55.3,53.5,,
50,122,56.4,54.6,52.7,
48,118,57.5,55.7,53.8,52.0
46,115,58.7,56.8,54.9,53.0
44,111,59.8,57.9,55.9,54.1
42,108,61.0,59.0,57.0,55.1
40,104,62.2,60.2,58.1,56.2
38,100,63.4,61.4,59.3,57.3
36,97,64.7,62.6,60.5,58.5
34,93,66.0,63.8,61.7,59.6
32,90,67.3,65.1,62.9,60.7
30,86,68.6,66.3,64.0,61.8
28,82,68.7,67.5,65.2,63.0
26,79,68.7,67.6,66.4,64.1
24,75,68.8,67.6,66.4,65.3
22,72,68.8,67.7,66.5,65.3
20,68,68.9,67.7,66.5,65.3
18,64,68.9,67.8,66.6,65.4
16,61,69.0,67.8,66.6,65.5
14,57,69.0,67.9,66.7,65.5
12,54,69.1,67.9,66.7,65.6
10,50,69.1,67.9,66.7,65.6
-40,-40,69.6,68.4,67.2,66.1
