GROUND_DISTANCE_NM,HD100,HD80,HD60,HD40,HD20
200,278,258,240,225,212
400,551,513,479,450,424
600,823,767,717,673,635
800,1095,1021,985,897,846
1000,1366,1274,1192,1120,1057
1200,1636,1527,1429,1344,1268
1400,1906,1780,1666,1567,1480
1600,2175,2002,1903,1790,1691
1800,2443,2238,2139,2013,1901
2000,2711,2535,2375,2236,2112
2200,2978,2785,2611,2458,2323
2400,3245,3035,2846,2681,2534
2600,3511,3285,3081,2903,2744
2800,3776,3534,3316,3125,2955
3000,4041,3783,3550,3346,3165
3200,4305,4032,3784,3568,3375
3400,4569,4280,4018,3789,3586
3600,4831,4527,4252,4011,3796
3800,5093,4774,4485,4232,4006
4000,5355,5021,4718,4453,4216
4200,5616,5267,4951,4674,4426
4400,5876,5513,5184,4894,4636
4600,6136,5758,5416,5114,4846
4800,6395,6003,5648,5335,5055
5000,6653,6247,5879,5555,5265
