GROUND_DISTANCE_NM,20,40,60,80,100
200,190,181,173,166,159
400,381,364,349,334,322
600,573,548,524,504,485
800,764,731,700,673,648
1000,955,914,877,842,811
1200,1147,1098,1053,1011,974
1400,1338,1281,1229,1181,1137
1600,1530,1465,1405,1350,1300
1800,1721,1648,1581,1520,1464
2000,1913,1832,1757,1689,1627
2200,2104,2016,1934,1859,1791
2400,2296,2199,2110,2028,1954
2600,2488,2383,2287,2198,2118
2800,2679,2567,2463,2368,2281
3000,2871,2751,2640,2538,2445
3200,3062,2935,2816,2708,2609
3400,3254,3119,2993,2878,2773
3600,3446,3302,3170,3048,2936
3800,3637,3476,3346,3218,3100
4000,3829,3670,3523,3388,3264
4200,4021,3854,3699,3557,3428
4400,4212,4038,3876,3727,3592
4600,4404,4221,4052,3897,3755
4800,4595,4405,4229,4067,3919
5000,4787,4589,4405,4237,4083
