AIR_DIST_NM,FUEL_29,TIME_29,FUEL_31,TIME_31,FUEL_33,TIME_33,FUEL_35,TIME_35,FUEL_37,TIME_37
200,1.4,0:38,1.4,0:37,1.4,0:37,1.4,0:36,1.4,0:36
400,2.4,1:08,2.4,1:07,2.4,1:06,2.3,1:05,2.3,1:04
600,3.4,1:39,3.4,1:37,3.3,1:34,3.3,1:33,3.2,1:31
800,4.5,2:09,4.4,2:06,4.3,2:03,4.2,2:00,4.1,1:59
1000,5.5,2:39,5.4,2:36,5.2,2:31,5.1,2:28,5.0,2:26
1200,6.5,3:09,6.4,3:04,6.2,2:59,6.1,2:56,6.0,2:53
1400,7.6,3:38,7.4,3:33,7.2,3:27,7.1,3:23,6.9,3:20
1600,8.7,4:07,8.4,4:01,8.2,3:55,8.0,3:50,7.8,3:47
1800,9.7,4:37,9.5,4:30,9.2,4:23,9.0,4:18,8.8,4:14
2000,10.8,5:06,10.5,4:58,10.2,4:51,9.9,4:45,9.7,4:41
2200,11.9,5:36,11.5,5:26,11.3,5:18,11.0,5:12,10.7,5:08
2400,13.0,6:03,12.7,5:53,12.3,5:45,12.0,5:39,11.7,5:34
2600,14.1,6:31,13.7,6:21,13.4,6:12,13.0,6:06,12.7,6:01
2800,15.3,6:59,14.8,6:49,14.4,6:39,14.0,6:33,13.7,6:28
3000,16.4,7:28,15.9,7:16,15.5,7:06,15.0,7:00,14.7,6:55
3200,17.5,7:55,17.0,7:43,16.6,7:33,16.1,7:26,15.8,7:21
3400,18.7,8:22,18.2,8:10,17.7,8:00,17.2,7:53,16.9,7:48
3600,19.9,8:50,19.3,8:37,18.8,8:27,18.2,8:20,18.0,8:14
3800,21.1,9:17,20.5,9:04,19.9,8:53,19.3,8:46,19.0,8:41
4000,22.2,9:44,21.6,9:31,21.0,9:20,20.4,9:13,20.1,9:07
4200,23.5,10:11,22.8,9:58,22.1,9:47,21.6,9:39,21.3,9:34
4400,24.7,10:38,24.0,10:24,23.3,10:13,22.7,10:06,22.5,10:00
4600,25.9,11:05,25.2,10:51,24.4,10:39,23.9,10:32,23.7,10:27
4800,27.2,11:31,26.4,11:17,25.6,11:06,25.0,10:59,24.9,10:53
5000,28.4,11:58,27.6,11:44,26.8,11:32,26.2,11:25,26.1,11:20
