FIELD_LENGTH_AVAILABLE_M,-2.0,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,2.0
1200,1270,1250,1230,1220,1200,1170,1150,1120,1100
1400,1490,1470,1440,1420,1400,1360,1320,1280,1240
1600,1710,1680,1660,1630,1600,1550,1490,1440,1390
1800,1940,1900,1870,1830,1800,1730,1670,1600,1530
2000,2160,2120,2080,2040,2000,1920,1840,1760,1680
2200,2380,2340,2290,2250,2200,2110,2010,1920,1820
2400,2610,2560,2500,2450,2400,2290,2180,2080,1970
2600,2830,2770,2720,2660,2600,2480,2360,2240,2120
2800,3050,2990,2930,2860,2800,2670,2530,2400,2260
3000,3280,3210,3140,3070,3000,2850,2700,2550,2410
3200,3500,3430,3350,3280,3200,3040,2880,2710,2550
3400,3720,3640,3560,3480,3400,3220,3050,2870,2700
3600,3950,3860,3770,3690,3600,3410,3220,3130,2840
3800,4170,4080,3990,3890,3800,3600,3390,3190,2990
4000,4390,4300,4200,4100,4000,3780,3570,3350,3130
4200,4620,4510,4410,4300,4200,3970,3740,3510,3280
4400,4840,4730,4620,4510,4400,4160,3910,3670,3420
4600,5070,4950,4830,4720,4600,4340,4080,3830,3570
4800,5290,5170,5040,4920,4800,4530,4260,3990,3710
5000,5510,5380,5260,5130,5000,4710,4430,4140,3860
