CORR'D FIELD LENGTH (M),-40°C,14°C,18°C,22°C,24°C,26°C,28°C,30°C,42°C,46°C,50°C
1450,58.7,53.0,52.7,52.3,52.2,51.5,50.9,50.3,46.5,45.4,44.2
1600,61.5,55.6,55.2,54.8,54.7,54.0,53.3,52.7,48.7,47.5,46.3
1800,65.2,58.8,58.8,58.1,57.9,57.2,56.5,55.8,51.6,50.3,49.0
2000,69.0,62.3,61.9,61.5,61.3,60.5,59.8,59.0,54.6,53.2,51.9
2200,72.0,64.9,64.5,64.1,63.9,62.3,62.1,61.5,56.9,55.4,54.0
2400,72.5,67.5,67.0,66.6,65.5,64.7,63.9,63.1,59.1,57.5,56.0
2600,72.5,70.2,69.7,69.2,69.0,68.1,67.3,66.4,61.4,59.8,58.2
2800,72.5,72.2,71.7,71.4,70.5,69.6,68.8,67.3,63.5,61.9,60.3
3000,72.5,72.5,72.5,72.5,72.5,71.8,70.9,69.5,65.5,63.8,62.1
3200,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,67.4,65.6,63.9
3400,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,69.2,67.4,65.6
3600,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,71.0,69.1,67.3
3800,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,70.8,68.9
4000,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.4,70.5
4200,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.0
4400,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
4600,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
4800,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
CLIMB LIMIT WT (1000KG),65.6,65.1,65.0,64.9,64.9,63.7,62.6,61.4,54.6,52.4,50.4
