CORR'D FIELD LENGTH (M),-40°C,14°C,18°C,22°C,24°C,26°C,28°C,30°C,42°C,46°C,50°C
1220,54.2,49.2,48.9,48.6,48.4,47.8,47.3,46.7,43.2,42.1,40.9
1400,58.1,52.7,52.4,52.1,51.9,51.3,50.7,50.1,46.4,45.1,43.9
1600,62.0,56.3,55.9,55.6,55.4,54.7,54.1,53.4,49.5,48.1,46.8
1800,65.8,59.7,59.3,58.9,58.8,58.1,57.3,56.6,52.4,51.0,49.6
2000,69.7,63.3,62.9,62.5,62.3,61.6,60.8,60.1,55.6,54.1,52.6
2200,72.5,66.0,65.6,65.2,65.0,64.2,63.4,62.6,57.9,56.3,54.8
2400,72.5,68.5,68.1,67.6,67.4,66.6,65.8,64.9,60.0,58.3,56.7
2600,72.5,71.2,70.8,70.3,70.1,69.2,68.3,67.4,62.3,60.5,58.8
2800,72.5,72.5,72.5,72.5,72.5,71.5,70.6,69.7,64.3,62.4,60.7
3000,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,66.1,64.2,62.4
3200,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,67.4,65.6,63.9
3400,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,69.6,67.5,65.7
3600,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,71.3,69.2,67.3
3800,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,70.8,68.8
4000,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,70.3
4200,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,71.8
4400,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
4600,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
CLIMB LIMIT(1000KG),65.6,65.1,65.0,64.9,63.7,62.6,61.4,54.6,52.4,52.4,50.4
