CORR'D FIELD LENGTH (M),-40°C,14°C,18°C,22°C,24°C,26°C,28°C,30°C,42°C,46°C,50°C
1220,56.8,52.0,51.7,51.3,51.2,51.0,50.7,50.0,46.3,45.1,43.8
1400,60.9,55.8,55.4,55.0,54.9,54.6,54.3,53.6,49.7,48.4,47.0
1600,65.0,59.6,59.2,58.8,58.6,58.3,58.0,57.2,53.0,51.6,50.2
1800,69.0,63.2,62.8,62.3,62.1,61.9,61.5,60.7,56.2,54.7,53.2
2000,72.5,67.0,66.5,66.1,65.9,65.6,65.2,64.4,59.6,58.0,56.4
2200,72.5,69.9,69.4,69.0,68.7,68.4,68.0,67.2,62.1,60.4,58.7
2400,72.5,72.5,72.1,71.6,71.4,71.1,70.7,69.7,64.4,62.7,60.9
2600,72.5,72.5,72.5,72.5,72.5,72.3,72.0,71.1,65.1,65.1,62.5
2800,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,67.1,67.2,65.2
3000,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,69.1,68.5,67.1
3200,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,70.5,69.7,68.6
3400,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.0,72.0,70.6
3600,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.3
3800,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
4000,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
4200,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
4400,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
4600,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
CLIMB LIMIT WT (1000KG),67.7,67.2,67.1,67.0,66.9,66.9,66.8,65.6,58.5,65.2,54.0
